time,head_sea,routine,salinity_lake,salinity_sea,ship_volume_lake_to_sea,ship_volume_sea_to_lake,t_flushing,t_level,t_open_lake,t_open_sea
114300.0,-0.14925850499999999,2,1.2631048815714285,27.96619497142857,282.0,,,,620.0,
115040.0,-0.33848382,3,1.2993157592857143,27.834892544285715,,,,280.0,,
115440.0,-0.33848382,4,1.2993157592857143,27.834892544285715,,4855.6,,,,1480.0
117040.0,-0.67591048,1,1.294595242,27.27891731,,,,580.0,,
117740.0,-0.67591048,2,1.294595242,27.27891731,921.8,,,,1060.0,
118920.0,-0.8555749699999999,3,1.257966739857143,26.801550452857143,,,,340.0,,
119380.0,-0.8555749699999999,4,1.257966739857143,26.801550452857143,0.0,0.0,,,,320.0
119820.0,-0.8555749699999999,-4,1.257966739857143,26.801550452857143,,,2280.0,,,
122100.0,-1.02900765,3,1.1836545805714287,25.736575262857144,,,,60.0,,
122280.0,-1.02900765,4,1.1836545805714287,25.736575262857144,,346.7,,,,400.0
122800.0,-1.0507196333333333,1,1.1534008298571428,25.36155836714286,,,,660.0,,
123580.0,-1.0507196333333333,2,1.1534008298571428,25.36155836714286,0.0,0.0,,,340.0,
124040.0,-1.0507196333333333,-2,1.1534008298571428,25.36155836714286,,,960.0,,,
125000.0,-0.9748076083333334,1,1.1187259295714287,24.927050724285714,,,,60.0,,
125180.0,-0.9748076083333334,2,1.1187259295714287,24.927050724285714,1890.8,,,,680.0,
125980.0,-0.8250449866666666,3,1.0974505795714287,24.711407252857143,,,,340.0,,
126440.0,-0.8250449866666666,4,1.0974505795714287,24.711407252857143,,4271.7,,,,2520.0
129080.0,-0.28895014166666666,1,1.0525995494285716,24.724561422857143,,,,500.0,,
129700.0,-0.28895014166666666,2,1.0525995494285716,24.724561422857143,8511.3,,,,1740.0,
131560.0,0.08693438,3,1.0435272622857144,25.156647548571428,,,,240.0,,
131920.0,0.08693438,4,1.0435272622857144,25.156647548571428,,4067.4,,,,1420.0
133460.0,0.504736075,1,1.0543315414285714,25.654150007142857,,,,280.0,,
133860.0,0.504736075,2,1.0543315414285714,25.654150007142857,5296.2,,,,980.0,
134960.0,0.9403213800000001,3,1.0847583838571428,26.033738,,,,360.0,,
135440.0,0.9403213800000001,4,1.0847583838571428,26.033738,,4499.8,,,,1920.0
137480.0,1.685915,1,1.1060147452857143,26.550255912857143,,,,400.0,,
138000.0,1.685915,2,1.1060147452857143,26.550255912857143,411.7,,,,920.0,
139040.0,1.9811927333333335,3,1.140352640857143,26.831485751428573,,,,480.0,,
139640.0,1.9811927333333335,4,1.140352640857143,26.831485751428573,,4499.8,,,,320.0
140080.0,2.13401385,1,1.1449627709999999,27.01785142,,,,1180.0,,
141380.0,2.13401385,2,1.1449627709999999,27.01785142,763.6,,,,420.0,
141920.0,2.1655678,3,1.163511889142857,27.124400818571427,,,,520.0,,
142560.0,2.1655678,4,1.163511889142857,27.124400818571427,0.0,0.0,,,,340.0
143020.0,2.1655678,-4,1.163511889142857,27.124400818571427,,,640.0,,,
143660.0,2.1655942666666665,3,1.1935633592857142,27.203903194285715,,,,60.0,,
143840.0,2.1655942666666665,4,1.1935633592857142,27.203903194285715,,1086.0,,,,580.0
144540.0,2.140088,1,1.1909704890000001,27.279394148571427,,,,480.0,,
145140.0,2.140088,2,1.1909704890000001,27.279394148571427,1152.9,,,,920.0,
146180.0,2.0349953333333333,3,1.249938930857143,27.388606207142857,,,,500.0,,
146800.0,2.0349953333333333,4,1.249938930857143,27.388606207142857,,4886.4,,,,760.0
147680.0,1.8413164499999999,1,1.352603078,27.46249771,,,,460.0,,
148260.0,1.8413164499999999,2,1.352603078,27.46249771,3961.9,,,,1560.0,
149940.0,1.4174292,3,1.4596302677142858,27.541064672857143,,,,420.0,,
150480.0,1.4174292,4,1.4596302677142858,27.541064672857143,0.0,0.0,,,,560.0
151160.0,1.4174292,-4,1.4596302677142858,27.541064672857143,,,460.0,,,
151620.0,1.1577989999999998,3,1.4860660347142856,27.588823315714286,,,,60.0,,
151800.0,1.1577989999999998,4,1.4860660347142856,27.588823315714286,,3533.2,,,,1380.0
153300.0,0.8006488266666666,1,1.541235311,27.628027234285717,,,,340.0,,
153760.0,0.8006488266666666,2,1.541235311,27.628027234285717,6705.9,,,,1760.0,
155640.0,0.39322294666666663,3,1.8256566698571428,27.711408614285713,,,,320.0,,
156080.0,0.39322294666666663,4,1.8256566698571428,27.711408614285713,,7389.3,,,,2180.0
158380.0,-0.05247711066666666,1,1.8687940151428573,27.708124162857143,,,,240.0,,
158740.0,-0.05247711066666666,2,1.8687940151428573,27.708124162857143,2093.0,,,,1380.0,
160240.0,-0.30444276,3,2.079856498142857,27.621856417142858,,,,280.0,,
160640.0,-0.30444276,4,2.079856498142857,27.621856417142858,,282.1,,,,1500.0
162260.0,-0.47355792333333335,1,1.9618510518571428,27.079580854285712,,,,540.0,,
162920.0,-0.47355792333333335,2,1.9618510518571428,27.079580854285712,2367.2,,,,500.0,
163540.0,-0.4992957050000001,3,1.9321466685714286,26.88822801,,,,320.0,,
163980.0,-0.4992957050000001,4,1.9321466685714286,26.88822801,,282.1,,,,300.0
164400.0,-0.5005234233333333,1,1.8870702815714286,26.62877164857143,,,,560.0,,
165080.0,-0.5005234233333333,2,1.8870702815714286,26.62877164857143,1726.9,,,,520.0,
165720.0,-0.49150819333333334,3,1.846845065,26.44730349857143,,,,320.0,,
166160.0,-0.49150819333333334,4,1.846845065,26.44730349857143,0.0,0.0,,,,420.0
166700.0,-0.49150819333333334,-4,1.846845065,26.44730349857143,,,460.0,,,
167160.0,-0.47663926,3,1.7907358411428573,26.13468905857143,,,,60.0,,
167340.0,-0.47663926,4,1.7907358411428573,26.13468905857143,,4596.3,,,,640.0
168100.0,-0.41409983,1,1.7293950661428572,25.841156007142857,,,,540.0,,
168760.0,-0.41409983,2,1.7293950661428572,25.841156007142857,6508.1,,,,400.0,
169280.0,-0.31576984,3,1.6919257131428571,25.697631564285714,,,,340.0,,
169740.0,-0.31576984,4,1.6919257131428571,25.697631564285714,,7654.1,,,,840.0
170700.0,-0.1296903475,1,1.6571831191428572,25.67885045,,,,240.0,,
171060.0,-0.1296903475,2,1.6571831191428572,25.67885045,6508.1,,,,3180.0,
174360.0,0.39099871500000005,3,1.6390578065714283,26.375550675714287,,,,300.0,,
174780.0,0.39099871500000005,4,1.6390578065714283,26.375550675714287,,4094.4,,,,1760.0
176660.0,0.6774633083333333,1,1.6289247269999998,26.53704071,,,,320.0,,
177100.0,0.6774633083333333,2,1.6289247269999998,26.53704071,7904.5,,,,1540.0,
178760.0,1.1397088,3,1.718575631142857,26.92007337,,,,380.0,,
179260.0,1.1397088,4,1.718575631142857,26.92007337,,6949.1,,,,1680.0
181060.0,1.7923051,1,1.715378387,27.24838557,,,,440.0,,
181620.0,1.7923051,2,1.715378387,27.24838557,0.0,0.0,,,780.0,
182520.0,1.7923051,-2,1.715378387,27.24838557,,,3180.0,,,
185700.0,2.2676691,1,1.8042631491428571,27.62509836857143,,,,60.0,,
185880.0,2.2676691,2,1.8042631491428571,27.62509836857143,4115.2,,,,800.0,
186800.0,2.2542809999999998,3,1.8511607477142857,27.701079234285714,,,,520.0,,
187440.0,2.2542809999999998,4,1.8511607477142857,27.701079234285714,0.0,0.0,,,,460.0
188020.0,2.2542809999999998,-4,1.8511607477142857,27.701079234285714,,,14500.0,,,
202520.0,-0.058450376666666665,3,1.7997043644285713,28.30762127142857,,,,60.0,,
202700.0,-0.058450376666666665,4,1.7997043644285713,28.30762127142857,,1672.0,,,,600.0
203420.0,-0.2762934673333334,1,1.9273619992857143,28.27544403285714,,,,420.0,,
203960.0,-0.2762934673333334,2,1.9273619992857143,28.27544403285714,0.0,0.0,,,440.0,
204520.0,-0.2762934673333334,-2,1.9273619992857143,28.27544403285714,,,2280.0,,,
206800.0,-0.7294182383333334,1,1.8425651615714285,27.415801452857142,,,,60.0,,
206980.0,-0.7294182383333334,2,1.8425651615714285,27.415801452857142,2736.1,,,,460.0,
207560.0,-0.851972915,3,1.8068306277142856,27.149056845714288,,,,340.0,,
208020.0,-0.851972915,4,1.8068306277142856,27.149056845714288,,2029.3,,,,720.0
208860.0,-0.98576311,1,1.7340476175714286,26.647338050000002,,,,660.0,,
209640.0,-0.98576311,2,1.7340476175714286,26.647338050000002,3418.2,,,,1360.0,
211120.0,-1.0481416666666667,3,1.6616545742857143,26.127568657142856,,,,360.0,,
211600.0,-1.0481416666666667,4,1.6616545742857143,26.127568657142856,,8251.0,,,,1160.0
212880.0,-1.0081103749999998,1,1.5873378515714285,25.716452738571427,,,,660.0,,
213660.0,-1.0081103749999998,2,1.5873378515714285,25.716452738571427,7215.4,,,,1040.0,
214820.0,-0.8302322916666667,3,1.5364205155714286,25.428183148571428,,,,360.0,,
215300.0,-0.8302322916666667,4,1.5364205155714286,25.428183148571428,,775.1,,,,720.0
216140.0,-0.5828596,1,1.4849562642857144,25.27241706428571,,,,620.0,,
216880.0,-0.5828596,2,1.4849562642857144,25.27241706428571,502.6,,,,560.0,
217560.0,-0.40172399999999997,3,1.4568333625714285,25.210260387142856,,,,320.0,,
218000.0,-0.40172399999999997,4,1.4568333625714285,25.210260387142856,,7772.1,,,,1920.0
220040.0,-0.009373613333333336,1,1.4107253211428572,25.313072478571428,,,,240.0,,
220400.0,-0.009373613333333336,2,1.4107253211428572,25.313072478571428,1539.2,,,,1380.0,
221900.0,0.3579772866666667,3,1.404218793,25.78327179,,,,300.0,,
222320.0,0.3579772866666667,4,1.404218793,25.78327179,,4993.2,,,,440.0
222880.0,0.6565259083333334,1,1.4095151427142856,26.003848755714284,,,,540.0,,
223540.0,0.6565259083333334,2,1.4095151427142856,26.003848755714284,1131.6,,,,520.0,
224180.0,0.9761192866666667,3,1.4375298362857143,26.29021045142857,,,,360.0,,
224660.0,0.9761192866666667,4,1.4375298362857143,26.29021045142857,,4993.2,,,,1080.0
225860.0,1.4791840666666667,1,1.4834173064285714,26.604143141428573,,,,380.0,,
226360.0,1.4791840666666667,2,1.4834173064285714,26.604143141428573,4575.2,,,,1200.0,
227680.0,1.9007563333333335,3,1.517898287,26.93659046285714,,,,480.0,,
228280.0,1.9007563333333335,4,1.517898287,26.93659046285714,,3262.7,,,,1380.0
229780.0,2.0998094,1,1.547170690142857,27.135689600000003,,,,460.0,,
230360.0,2.0998094,2,1.547170690142857,27.135689600000003,2561.4,,,,1880.0,
232360.0,2.1313285499999997,3,1.5736021145714287,27.31643159,,,,500.0,,
232980.0,2.1313285499999997,4,1.5736021145714287,27.31643159,,2688.0,,,,900.0
234000.0,2.0729585000000004,1,1.6038069217142856,27.378320964285717,,,,480.0,,
234600.0,2.0729585000000004,2,1.6038069217142856,27.378320964285717,4776.0,,,,1360.0,
236080.0,1.8617236333333331,3,1.6752089091428572,27.490437914285717,,,,480.0,,
236680.0,1.8617236333333331,4,1.6752089091428572,27.490437914285717,,983.8,,,,760.0
237560.0,1.6147551,1,1.674740007857143,27.54905673,,,,440.0,,
